STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4104;20231230;   10;   7.2;   2.2;    9;   0.0;   6;    0.700;   0;   7.6;   7.8;  973.30;    6.0;   84.00;    9.6;    1.8;   -1.1;eor
       4104;20231231;   10;   8.9;   2.5;    9;   0.4;   6;    0.300;   0;   7.9;   7.0;  966.50;    3.1;   91.00;    5.1;    0.8;   -1.8;eor
       4104;20240101;   10;  12.5;   3.8;    9;   1.0;   6;    3.200;   0;   7.0;   6.7;  967.90;    4.8;   78.00;    9.2;    3.1;    0.8;eor
       4104;20240102;   10;  14.4;   3.7;    9;  15.9;   6;    0.000;   0;   7.4;   7.9;  961.10;    5.2;   89.00;    8.9;    2.8;    2.1;eor
       4104;20240103;   10;  17.0;   6.0;    9;   1.3;   6;    1.500;   0;   6.3;   8.6;  956.70;    9.0;   75.00;   11.9;    6.9;    4.4;eor
       4104;20240104;   10;  16.9;   5.9;    9;   3.2;   6;    0.000;   0;   7.3;   7.8;  961.80;    6.4;   81.00;    7.7;    2.7;    0.4;eor
       4104;20240105;   10;   6.0;   2.1;    9;   4.0;   6;    0.600;   0;   7.9;   7.0;  962.20;    3.5;   89.00;    5.6;    1.7;   -0.2;eor
       4104;20240106;   10;   5.0;   1.5;    9;   1.0;   6;    0.000;   0;   7.8;   7.3;  963.70;    3.7;   91.00;    5.0;    2.9;    2.0;eor
       4104;20240107;   10;  10.0;   3.0;    9;   0.5;   8;    0.000;   0;   7.7;   5.3;  970.30;    0.1;   83.00;    3.0;   -3.9;   -4.5;eor
       4104;20240108;   10;  11.7;   4.2;    9;   0.0;   7;    0.000;   0;   7.0;   3.2;  979.60;   -3.7;   68.00;   -2.0;   -6.8;   -7.6;eor
       4104;20240109;   10;  10.4;   4.1;    9;   0.0;   0;    6.600;   0;   0.0;   2.4;  983.00;   -5.9;   62.00;   -1.5;   -8.4;   -9.5;eor
       4104;20240110;   10;   5.1;   1.8;    9;   0.0;   0;    6.400;   0;   1.5;   3.0;  982.80;   -4.9;   70.00;   -0.2;   -8.0;   -9.7;eor
       4104;20240111;   10;   4.2;   1.4;    9;   0.0;   0;    6.400;   0;   2.2;   3.4;  983.70;   -4.4;   78.00;    0.4;   -8.7;  -10.2;eor
